CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,3,0.333333,0.3125,5,5,1,2,0.3125,5,1,1,0,0,1,11,13,3,1,2,1,2,0,2,0,6,3,0,6,0,11,13,3,1,2,1,2,0,2,0,6,3,0,6,0,true
0,0,0,0,0,0,0,0,0,0,0,2,1,11,8,1,3,0.333333,0.368421,7,7,1,2,0.368421,7,1,1,0,0,1,12,15,3,1,2,1,2,0,2,0,6,3,0,6,0,12,15,3,1,2,1,2,0,2,0,6,3,0,6,0,true
0,0,0,0,0,0,0,0,1,1,1,6,2,1,1,2,7,0.25,0.228571,8,8,1,3,0.228571,8,2,2,0,0,1,27,32,5,3,3,2,5,0,3,0,13,10,0,10,0,27,32,5,3,3,2,5,0,3,0,13,10,0,10,0,true
0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,3,0.333333,0.421053,8,8,1,2,0.421053,8,1,1,0,0,1,11,13,3,1,2,1,2,0,2,0,6,3,0,6,0,11,13,3,1,2,1,2,0,2,0,6,3,0,6,0,false
0,0,0,0,0,0,0,0,1,1,1,6,2,5,4,2,7,0.25,0.228571,8,8,1,3,0.228571,8,2,2,0,0,1,27,32,5,3,3,2,5,0,3,0,13,10,0,10,0,27,32,5,3,3,2,5,0,3,0,13,10,0,10,0,true
0,0,0,0,0,0,0,0,0,1,1,6,1,24,2,1,5,0.8,0.394737,15,15,4,1,0.394737,15,1,1,0,0,1,23,38,3,3,2,3,4,0,4,0,8,8,0,8,0,23,38,3,3,2,3,4,0,4,0,8,8,0,8,0,true
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.6,6,6,1,0,0.6,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,1,1,0.84375,27,27,1,0,0.84375,27,0,0,0,0,0,5,9,0,0,0,0,1,0,0,0,1,0,0,0,0,5,9,0,0,0,0,1,0,0,0,1,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,3,2,19,5,0,3,1,0.864865,32,32,4,0,0.864865,32,2,2,1,8,1,5,34,0,0,0,0,3,0,3,0,5,0,0,5,0,5,34,0,0,0,0,3,0,3,0,5,0,0,5,0,false
0,0,0,0,0,0,0,0,0,0,0,2,0,63,17,0,2,1,0.870968,27,27,3,0,0.870968,27,0,0,11,54,0,4,23,0,0,0,0,2,0,2,0,2,0,0,2,0,4,23,0,0,0,0,2,0,2,0,2,0,0,2,0,false
0,0,0,0,0,0,0,0,0,0,0,1,1,702,114,0,1,1,0.833333,15,15,2,0,0.833333,15,0,0,304,404,0,3,9,0,0,0,0,1,0,1,0,1,0,0,1,0,3,9,0,0,0,0,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,2,1,0.684211,13,13,1,0,0.684211,13,0,0,0,0,0,6,7,0,0,0,0,2,0,0,0,2,0,0,0,0,6,7,0,0,0,0,2,0,0,0,2,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,4,5,80,10,0,4,0.8,0.769231,20,20,4,1,0.769231,20,1,2,3,37,2,6,24,0,1,0,1,4,0,4,0,7,0,0,7,0,6,24,0,1,0,1,4,0,4,0,7,0,0,7,0,false
0,0,0,0,0,0,0,0,0,0,0,33,6,414,623,0,33,1,0.885475,317,317,34,0,0.885475,317,1,1,1,2,1,41,370,0,0,0,0,33,0,33,0,35,0,0,35,0,41,370,0,0,0,0,33,0,33,0,35,0,0,35,0,true
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.6,6,6,1,0,0.6,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0.545455,6,6,1,0,0.545455,6,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.809524,17,17,1,0,0.809524,17,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,3,1,14,5,2,5,0.25,0.263158,5,5,1,3,0.263158,5,1,1,0,0,1,14,18,2,1,1,1,3,0,3,0,7,5,0,7,0,14,18,2,1,1,1,3,0,3,0,7,5,0,7,0,true
0,0,0,0,0,0,0,0,2,1,1,12,3,37,30,0,11,0.272727,0.269841,17,17,3,8,0.269841,17,0,0,1,1,0,46,68,6,4,6,4,11,3,10,2,11,14,3,10,2,46,68,6,4,6,4,11,3,10,2,11,14,3,10,2,false
0,0,0,0,0,0,0,0,0,0,0,3,3,10,1,0,3,1,0.705882,12,12,4,0,0.705882,12,0,0,1,552,0,5,17,0,2,0,2,3,0,3,1,3,0,0,3,1,5,17,0,2,0,2,3,0,3,1,3,0,0,3,1,true
0,0,0,0,0,0,0,0,0,0,0,4,0,100,75,0,4,0.2,0.263158,5,5,1,4,0.263158,5,0,0,17,20,0,14,18,1,0,1,0,4,0,4,0,4,3,0,4,0,14,18,1,0,1,0,4,0,4,0,4,3,0,4,0,false
0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,5,0.5,0.347826,8,8,2,2,0.347826,8,1,1,1,1,1,15,22,3,1,2,1,3,0,3,0,7,5,0,7,0,15,22,3,1,2,1,3,0,3,0,7,5,0,7,0,true
0,0,0,0,0,0,0,0,0,0,0,3,1,5,6,3,6,0.25,0.294118,5,5,1,3,0.294118,5,1,1,2,2,1,12,16,2,0,1,0,3,0,3,0,7,3,0,7,0,12,16,2,0,1,0,3,0,3,0,7,3,0,7,0,false
0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,3,6,0.25,0.294118,5,5,1,3,0.294118,5,1,1,0,0,1,12,16,2,0,1,0,3,0,3,0,7,3,0,7,0,12,16,2,0,1,0,3,0,3,0,7,3,0,7,0,false
0,0,0,0,0,0,0,0,0,0,0,2,0,95,106,0,2,1,0.789474,15,15,3,0,0.789474,15,0,0,14,227,0,4,16,0,0,0,0,2,0,2,0,2,0,0,2,0,4,16,0,0,0,0,2,0,2,0,2,0,0,2,0,false
0,0,0,0,0,0,0,0,0,0,0,2,1,51,58,0,2,1,0.875,28,28,3,0,0.875,28,0,0,9,9,0,4,26,0,0,0,0,2,0,2,0,2,0,0,2,0,4,26,0,0,0,0,2,0,2,0,2,0,0,2,0,false
0,0,0,0,0,0,0,0,0,0,0,2,2,28,7,2,4,0.333333,0.5,8,8,1,2,0.5,8,2,2,2,2,1,8,10,2,1,0,0,2,0,2,0,10,2,0,9,0,8,10,2,1,0,0,2,0,2,0,10,2,0,9,0,false
0,0,0,0,0,0,0,0,4,1,1,12,11,5,8,5,16,0.416667,0.206349,13,13,5,7,0.188406,13,1,1,0,0,1,50,71,4,4,4,4,11,0,11,0,11,19,0,11,0,56,77,7,14,4,4,13,0,13,0,31,21,0,31,0,false
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.5,3,3,1,0,0.5,3,0,0,0,0,0,3,3,2,0,2,0,0,2,0,0,0,0,2,0,0,3,3,2,0,2,0,0,2,0,0,0,0,2,0,0,false
0.135065,1,2,1,0.081481,0.102804,11,11,1,2,2,24,13,6,7,14,33,0.266667,0.118644,14,14,4,11,0.115702,14,2,3,2,2,1,104,132,14,12,8,7,19,0,14,2,78,48,0,65,9,107,135,14,12,8,7,20,0,14,2,79,49,0,65,9,false
0,0,0,0,0,0,0,0,1,1,1,12,7,6,5,7,17,0.272727,0.163265,8,8,3,8,0.163265,8,0,0,2,2,0,41,57,3,5,3,5,10,0,10,0,10,16,0,10,0,41,57,3,5,3,5,10,0,10,0,10,16,0,10,0,false
0,0,0,0,0,0,0,0,1,0,0,6,2,4,2,1,7,0.285714,0.111111,4,4,2,5,0.111111,4,1,1,0,0,1,32,39,3,4,2,3,6,0,6,2,9,6,0,9,3,32,39,3,4,2,3,6,0,6,2,9,6,0,9,3,false
0,0,0,0,0,0,0,0,2,2,2,32,7,13,8,12,34,0.210526,0.172414,25,23,4,15,0.172414,25,2,2,0,0,1,120,164,10,11,7,8,22,0,18,7,31,47,0,27,10,120,164,10,11,7,8,22,0,18,7,31,47,0,27,10,false
0,0,0,0,0,0,0,0,1,0,0,3,0,4,3,0,3,0.25,0.263158,5,5,1,3,0.263158,5,0,0,3,4,0,14,17,1,1,1,1,3,0,3,1,3,3,0,3,1,14,17,1,1,1,1,3,0,3,1,3,3,0,3,1,false
0.33121,1,2,1,0.215686,0.261905,11,11,1,1,1,7,2,5,3,2,7,0.333333,0.125,6,4,2,4,0.125,6,1,1,0,0,1,42,51,3,4,2,3,5,0,5,1,8,17,0,8,2,42,51,3,4,2,3,5,0,5,1,8,17,0,8,2,false
0,0,0,0,0,0,0,0,4,2,2,20,3,9,7,4,21,0.117647,0.16129,15,14,2,15,0.16129,15,0,0,0,0,0,78,107,6,7,6,7,17,0,16,5,17,25,0,16,5,78,107,6,7,6,7,17,0,16,5,17,25,0,16,5,false
0,0,0,0,0,0,0,0,2,0,0,6,1,3,5,0,6,0.142857,0.103448,3,3,1,6,0.103448,3,1,1,1,1,1,26,32,3,3,2,2,6,0,6,2,9,6,0,9,3,26,32,3,3,2,2,6,0,6,2,9,6,0,9,3,false
0,0,0,0,0,0,0,0,2,4,4,14,3,3,3,3,10,0.2,0.085714,6,6,1,4,0.096774,9,2,2,0,0,1,64,75,15,2,8,0,7,0,4,1,19,29,0,10,1,84,99,15,2,8,0,9,0,5,1,21,41,0,11,1,false
0,0,0,0,0,0,0,0,1,3,3,21,7,3,8,4,14,0.5,0.120879,11,11,2,2,0.105769,11,1,1,1,2,1,80,96,6,4,6,4,10,0,3,0,10,41,0,3,0,93,112,6,4,6,4,11,0,4,0,11,49,0,4,0,false
0,0,0,0,0,0,0,0,1,1,1,4,8,1,1,8,11,0.333333,0.321429,9,8,1,2,0.321429,9,3,3,0,0,1,19,26,14,8,1,0,3,0,2,0,30,8,0,17,7,19,26,14,8,1,0,3,0,2,0,30,8,0,17,7,false
0,0,0,0,0,0,0,0,2,2,2,26,10,1,3,12,32,0.076923,0.138686,19,15,1,12,0.138686,19,2,2,1,1,1,118,151,13,8,7,5,20,0,12,7,27,50,0,15,7,118,151,13,8,7,5,20,0,12,7,27,50,0,15,7,false
0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,4,0.333333,0.411765,7,7,1,2,0.411765,7,2,2,0,0,1,10,12,3,2,1,1,2,0,2,0,10,3,0,9,0,10,12,3,2,1,1,2,0,2,0,10,3,0,9,0,false
0,0,0,0,0,0,0,0,2,0,0,14,5,2,3,3,17,0.2,0.203125,13,12,3,12,0.203125,13,0,0,0,0,0,51,75,5,6,5,6,14,0,14,5,14,16,0,14,5,51,75,5,6,5,6,14,0,14,5,14,16,0,14,5,false
0,0,0,0,0,0,0,0,1,1,1,14,9,8,11,7,19,0.272727,0.203125,13,12,3,8,0.203125,13,2,2,0,0,1,51,72,14,5,7,3,12,0,10,3,24,16,0,16,3,51,72,14,5,7,3,12,0,10,3,24,16,0,16,3,false
0,0,0,0,0,0,0,0,1,1,1,9,7,8,5,4,11,0.333333,0.194444,7,7,2,4,0.194444,7,2,2,0,0,1,29,40,9,4,2,2,7,0,5,1,19,9,0,11,1,29,40,9,4,2,2,7,0,5,1,19,9,0,11,1,false
0,0,0,0,0,0,0,0,1,2,2,24,18,4,5,20,34,0.090909,0.22314,27,12,1,10,0.22314,27,2,2,0,0,1,94,135,14,5,7,3,14,0,10,0,26,47,0,16,0,94,135,14,5,7,3,14,0,10,0,26,47,0,16,0,false
0,0,0,0,0,0,0,0,1,1,1,8,4,8,0,2,9,0.25,0.135135,5,5,1,3,0.135135,5,1,1,7,7,1,32,41,2,1,2,1,7,0,3,0,7,13,0,3,0,32,41,2,1,2,1,7,0,3,0,7,13,0,3,0,false
0,0,0,0,0,0,0,0,9,0,0,11,4,4,22,10,21,1,0.516854,46,46,11,0,0.516854,46,0,0,0,0,0,43,92,0,0,0,0,11,0,10,0,11,18,0,10,0,43,92,0,0,0,0,11,0,10,0,11,18,0,10,0,true
0,0,0,0,0,0,0,0,18,1,1,38,13,135,138,21,52,0.758621,0.393204,81,81,22,7,0.393204,81,0,0,1,552,0,125,233,3,2,3,2,31,0,28,3,31,51,0,28,3,125,233,3,2,3,2,31,0,28,3,31,51,0,28,3,true
0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,0,2,0.333333,0.357143,5,5,1,2,0.357143,5,1,1,0,0,1,9,11,1,0,1,0,2,0,2,0,2,2,0,2,0,9,11,1,0,1,0,2,0,2,0,2,2,0,2,0,false
0,0,0,0,0,0,0,0,1,1,1,22,15,25,26,16,36,0.85,0.468531,67,67,17,3,0.469799,70,0,0,0,0,0,76,163,2,0,2,0,20,0,19,0,20,28,0,19,0,79,166,4,0,4,0,20,2,19,0,20,28,2,19,0,true
0,0,0,0,0,0,0,0,1,1,1,42,17,25,27,21,59,0.410256,0.27907,60,60,16,23,0.275229,60,2,2,0,0,1,155,246,9,9,8,8,38,0,38,8,42,63,0,41,9,158,249,9,9,8,8,39,0,39,8,43,64,0,42,9,true
0,0,0,0,0,0,0,0,0,0,0,4,3,19,6,0,4,1,0.76,19,19,5,0,0.76,19,0,0,1,7,0,6,25,0,0,0,0,4,0,4,1,4,0,0,4,1,6,25,0,0,0,0,4,0,4,1,4,0,0,4,1,true
0,0,0,0,0,0,0,0,1,2,2,7,6,1,2,6,10,0.2,0.151515,5,5,1,4,0.151515,5,2,2,0,0,1,28,32,3,1,2,0,4,0,4,0,8,12,0,7,1,28,32,3,1,2,0,4,0,4,0,8,12,0,7,1,true
0,0,0,0,0,0,0,0,1,1,1,5,3,6,4,1,5,0.25,0.217391,5,5,1,3,0.217391,5,1,1,6,6,1,18,22,1,1,1,1,4,0,3,1,6,6,0,5,1,18,22,1,1,1,1,4,0,3,1,6,6,0,5,1,true
0.253938,4,12,12,0.223565,0.3,148,132,30,5,2,47,5,26,64,6,41,0.911765,0.464832,152,151,31,3,0.264214,158,0,0,0,0,0,175,362,0,1,0,1,35,0,33,0,35,58,0,33,0,440,662,0,1,0,1,92,0,90,0,92,166,0,90,0,true
0,0,0,0,0,0,0,0,1,0,0,45,10,53,71,27,72,0.934783,0.59322,245,245,43,3,0.59322,245,2,3,0,0,1,168,455,7,8,2,1,45,0,45,1,69,74,0,64,6,168,455,7,8,2,1,45,0,45,1,69,74,0,64,6,true
0,0,0,0,0,0,0,0,1,0,0,11,6,1,3,2,13,0.083333,0.102041,5,5,1,11,0.102041,5,2,2,0,0,1,44,56,3,3,2,2,11,0,11,2,15,18,0,14,3,44,56,3,3,2,2,11,0,11,2,15,18,0,14,3,true
0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,2,0.333333,0.529412,9,9,1,2,0.529412,9,2,2,0,0,1,8,9,1,1,0,0,2,0,2,0,6,2,0,5,1,8,9,1,1,0,0,2,0,2,0,6,2,0,5,1,true
0,0,0,0,0,0,0,0,1,0,0,2,1,8,8,0,2,0.333333,0.384615,5,5,1,2,0.384615,5,2,3,0,0,1,8,10,7,6,1,1,2,0,2,0,60,1,0,52,7,8,10,7,6,1,1,2,0,2,0,60,1,0,52,7,false
0.476499,3,8,8,0.412451,0.5,106,92,13,0,0,17,7,9,21,2,19,0.411765,0.302521,36,36,7,10,0.163636,36,0,0,0,0,0,83,133,0,0,0,0,17,0,16,0,17,25,0,16,0,184,257,2,7,0,7,45,0,28,0,92,59,0,55,0,false
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0.785714,11,11,2,0,0.785714,11,0,0,0,0,0,3,9,0,0,0,0,1,0,1,0,1,0,0,1,0,3,9,0,0,0,0,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,1,1,1,3,2,7,2,1,3,0.5,0.333333,5,5,1,1,0.333333,5,1,1,6,6,1,10,12,0,0,0,0,2,0,1,0,3,3,0,2,0,10,12,0,0,0,0,2,0,1,0,3,3,0,2,0,false
0.754951,3,8,8,0.534031,0.712121,102,94,4,0,0,12,3,9,11,0,12,1,0.460674,41,41,12,0,0.236994,41,0,0,0,0,0,48,96,0,0,0,0,12,0,11,7,12,11,0,11,7,132,191,0,0,0,0,34,0,33,7,34,40,0,33,7,true
0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,0.5,0.625,5,5,1,1,0.625,5,0,0,3,3,0,3,5,0,0,0,0,1,0,1,0,1,0,0,1,0,3,5,0,0,0,0,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,1,2,2,34,16,1021,550,26,53,0.695652,0.365591,68,67,16,7,0.365591,68,1,2,541,551,2,118,208,6,5,3,3,27,0,22,3,59,52,0,51,7,118,208,6,5,3,3,27,0,22,3,59,52,0,51,7,true
0,0,0,0,0,0,0,0,1,1,1,27,5,92,118,19,45,0.48,0.398773,65,65,12,13,0.398773,65,1,1,1,1,1,98,187,1,1,1,1,26,0,24,0,26,40,0,24,0,98,187,1,1,1,1,26,0,24,0,26,40,0,24,0,true
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.5,7,7,1,0,0.5,7,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.5,6,6,1,0,0.5,6,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,1,0,0,0,0,6,6,0,0,0,0,1,0,0,0,1,0,0,0,0,false
